# %ECSV 0.9
# ---
# datatype:
# - {name: NAME, datatype: string}
# - {name: HD, datatype: string}
# - {name: MSINI, unit: jupiterMass, datatype: float64}
# - {name: A, unit: AU, datatype: float64}
# - {name: PER, unit: d, datatype: float64}
# - {name: ECC, datatype: float64}
# - {name: OM, unit: deg, datatype: float64}
# - {name: T0, unit: d, datatype: float64}
# - {name: V, unit: mag, datatype: float64}
# - {name: DIST, unit: pc, datatype: float64}
# - {name: Notes, datatype: string}
# - {name: hip_name, datatype: string}
# delimiter: ','
NAME,HD,MSINI,A,PER,ECC,OM,T0,V,DIST,Notes,hip_name
beta Gem b,HD 62509,2.75822,1.75739,589.64001,0.02,354.58,2447739.02,1.15,10.3584,"aka Pollux b, aka HD 62509 b",HIP  37826 b
gamma Cep b,HD 222404,1.85,2.05,903.3,0.049,94.6,2453227.0,3.21,14.1024,--,HIP  116727 b
HD 147513 b,HD 147513,1.17965,1.30958,528.40002,0.26,282.0,2451123.0,5.37,12.7779,--,HIP  80337 b
HD 192310 c,HD 192310,0.0736073,1.18358,525.8,0.32,110.0,2455311.915,5.73,8.91107,--,HIP  99825 c
upsilon And d,HD 9826,4.11582,2.52452,1278.1218,0.267395,269.685,2453937.728,4.1,13.4916,I have removed upsilon And e from list given questionable nature,HIP  7513 d
epsilon Eri b,HD 22049,0.645,3.51,2651.0,0.4,141.4,2448940.0,3.72,3.21605,--,HIP  16537 b
47 UMa b,HD 95128,2.54589,2.10149,1078.0,0.032,334.0,2451917.0,5.03,14.0627,--,HIP  53721 b
HD 10647 b,HD 10647,0.925037,2.02175,1003.0,0.16,336.0,2450960.0,5.52,17.4338,--,HIP  7978 b
47 UMa c,HD 95128,0.545774,3.57197,2391.0,0.098,295.0,2452441.0,5.03,14.0627,--,HIP  53721 c
HD 39091 b,HD 39091,10.088,3.34651,2151.0,0.6405,330.24,2447820.0,5.65,18.315,--,HIP  26394 b
HD 114613 b,HD 114613,0.506039,5.3109,3827.0,0.25,244.0,2455550.3,4.85,20.6697,--,HIP  64408 b
HD 128311 c,HD 128311,3.24848,1.74533,923.8,0.23,28.0,2456987.0,7.48,16.5016,--,HIP  71395 c
HD 190360 b,HD 190360,1.53512,3.97285,2915.0369,0.313105,12.9274,2453541.662,5.73,15.8579,--,HIP  98767 b
mu Ara e,HD 160691,1.88907,5.34057,4205.8,0.0985,57.6,2452955.2,5.12,15.5111,aka HD 160691 e,HIP  86796 e
14 Her b,HD 145675,5.21486,2.93362,1773.4,0.369,22.6,2451372.7,6.61,17.5716,--,HIP  79248 b
HD 89307 b,HD 89307,1.79148,3.26609,2166.0,0.2,4.9,2452346.4,7.02,32.3625,--,HIP  50473 b
55 Cnc d,HD 75732,3.54451,5.47467,4909.0,0.02,254.0,2453490.0,5.96,12.3411,--,HIP  43587 d
HD 70642 b,HD 70642,1.90944,3.18072,2068.0,0.034,205.0,2451350.0,7.17,28.0662,--,HIP  40952 b
HD 217107 c,HD 217107,2.61546,6.074,5189.0,0.3848,206.3,2450770.0,6.17,19.857,--,HIP  113421 c
HD 154345 b,HD 154345,0.956901,4.21377,3341.5588,0.044,68.1543,2452831.223,6.76,18.5874,--,HIP  83389 b
HD 117207 b,HD 117207,1.8189,3.73753,2597.0,0.144,73.0,2450630.0,7.26,33.0469,--,HIP  65808 b
HD 134987 c,HD 134987,0.804926,5.82513,5000.0,0.12,195.0,2451100.0,6.47,26.2055,--,HIP  74500 c
HD 87883 b,HD 87883,1.75571,3.57648,2754.0,0.53,291.0,2451139.0,7.57,18.205,--,HIP  49699 b
HD 222155 b,HD 222155,2.02633,5.13864,3999.0,0.16,137.0,2456319.0,7.12,49.1,--,HIP  116616 b
HD 181433 d,HD 181433,0.535482,3.02208,2172.0,0.48,330.0,2452154.0,8.38,26.7594,--,HIP  95467 d
HD 24040 b,HD 24040,4.02189,4.92406,3668.0,0.04,154.0,2454308.0,7.5,46.5983,--,HIP  17960 b
HD 13931 b,HD 13931,1.88123,5.14931,4218.0,0.02,290.0,2454494.0,7.61,44.2282,--,HIP  10626 b
HD 187123 c,HD 187123,1.9422,4.83146,3805.6705,0.252086,242.973,2453580.036,7.83,48.2626,--,HIP  97336 c
GJ 832 b,HD 204961,0.684002,3.56153,3657.0,0.08,246.0,2451211.0,8.66,4.95368,--,HIP  106440 b
HD 30562 b,HD 30562,1.33254,2.34083,1157.0,0.76,81.0,2450131.5,5.77,26.4201,--,HIP  22336 b
HD 142 c,HD 142,5.3,6.8,6005.0,0.21,250.0,2455954.0,5.7,20.6,--,HIP  522 c
nu Oph c,HD 163917,27.0,6.1,3186.0,0.18,0.0,2453038.0,3.34,46.8,calling this a planet is probably a bit of a stretch,HIP  88048 c
psi01 Dra B b,HD 162004,1.53,4.43,3117.0,0.4,64.0,2449344.0,5.81,22.04,any concerns about binary star system?,HIP  86614 b
HD 169830 c,HD 169830,4.06407,3.60184,2102.0,0.33,252.0,2452516.0,5.9,36.6032,--,HIP  90485 c
